"列號","場站代碼","對象代碼","車號","車廂模組","坑位代碼","坑位名稱","坑位類型","上層坑位代碼","設備序號","現場設備名稱","裝用狀態","盤點人","盤點日期","照片檔名或連結","備註"
"1601","D","TS","109","M4","50-D-TS109-M4-PAC/L2-COMP","空調渦捲式壓縮機-L2","子件","50-D-TS109-M4-PAC/L2","","","","","","",""
"1602","D","TS","109","M4","50-D-TS109-M4-PAC/L2-CTRL","空調控制器KN700-L2","子件","50-D-TS109-M4-PAC/L2","","","","","","",""
"1603","D","TS","109","M4","50-D-TS109-M4-PAC/R1","客室空調總成-R1","總成","50-D-TS109-M4","","","","","","",""
"1604","D","TS","109","M4","50-D-TS109-M4-PAC/R1-COMP","空調渦捲式壓縮機-R1","子件","50-D-TS109-M4-PAC/R1","","","","","","",""
"1605","D","TS","109","M4","50-D-TS109-M4-PAC/R1-CTRL","空調控制器KN700-R1","子件","50-D-TS109-M4-PAC/R1","","","","","","",""
"1606","D","TS","109","M4","50-D-TS109-M4-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS109-M4","","","","","","",""
"1607","D","TS","109","M4","50-D-TS109-M4-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS109-M4","","","","","","",""
"1608","D","TS","109","M5","50-D-TS109-M5-AHU","輔助液壓單元總成(AHU)","總成","50-D-TS109-M5","","","","","","",""
"1609","D","TS","109","M5","50-D-TS109-M5-BCU","煞車控制單元(BCU)總成","總成","50-D-TS109-M5","","","","","","",""
"1610","D","TS","109","M5","50-D-TS109-M5-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1611","D","TS","109","M5","50-D-TS109-M5-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1612","D","TS","109","M5","50-D-TS109-M5-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1613","D","TS","109","M5","50-D-TS109-M5-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1614","D","TS","109","M5","50-D-TS109-M5-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1615","D","TS","109","M5","50-D-TS109-M5-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS109-M5-BCU","","","","","","",""
"1616","D","TS","109","M5","50-D-TS109-M5-BOGIE","轉向架","總成","50-D-TS109-M5","","","","","","",""
"1617","D","TS","109","M5","50-D-TS109-M5-BOGIE-BCAL-AX5L","動力式煞車卡鉗總成-L5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1618","D","TS","109","M5","50-D-TS109-M5-BOGIE-BCAL-AX5R","動力式煞車卡鉗總成-R5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1619","D","TS","109","M5","50-D-TS109-M5-BOGIE-BCAL-AX6L","動力式煞車卡鉗總成-L6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1620","D","TS","109","M5","50-D-TS109-M5-BOGIE-BCAL-AX6R","動力式煞車卡鉗總成-R6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1621","D","TS","109","M5","50-D-TS109-M5-BOGIE-GB-AX5L","齒輪箱總成-L5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1622","D","TS","109","M5","50-D-TS109-M5-BOGIE-GB-AX5R","齒輪箱總成-R5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1623","D","TS","109","M5","50-D-TS109-M5-BOGIE-GB-AX6L","齒輪箱總成-L6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1624","D","TS","109","M5","50-D-TS109-M5-BOGIE-GB-AX6R","齒輪箱總成-R6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1625","D","TS","109","M5","50-D-TS109-M5-BOGIE-TM-AX5L","牽引馬達總成-L5(TM4)","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1626","D","TS","109","M5","50-D-TS109-M5-BOGIE-TM-AX5R","牽引馬達總成-R5(TM2)","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1627","D","TS","109","M5","50-D-TS109-M5-BOGIE-TM-AX6L","牽引馬達總成-L6(TM3)","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1628","D","TS","109","M5","50-D-TS109-M5-BOGIE-TM-AX6R","牽引馬達總成-R6(TM1)","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1629","D","TS","109","M5","50-D-TS109-M5-BOGIE-WHL-AX5L","動力式車輪-L5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1630","D","TS","109","M5","50-D-TS109-M5-BOGIE-WHL-AX5R","動力式車輪-R5","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1631","D","TS","109","M5","50-D-TS109-M5-BOGIE-WHL-AX6L","動力式車輪-L6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1632","D","TS","109","M5","50-D-TS109-M5-BOGIE-WHL-AX6R","動力式車輪-R6","子件","50-D-TS109-M5-BOGIE","","","","","","",""
"1633","D","TS","109","M5","50-D-TS109-M5-BPI","BPI界面轉換器","獨立件","50-D-TS109-M5","","","","","","",""
"1634","D","TS","109","M5","50-D-TS109-M5-BRES","煞車電阻器(含箱體)","獨立件","50-D-TS109-M5-CC400","","","","","","",""
"1635","D","TS","109","M5","50-D-TS109-M5-CABAC","駕駛室空調總成","總成","50-D-TS109-M5","","","","","","",""
"1636","D","TS","109","M5","50-D-TS109-M5-CABAC-COMP","空調渦捲式壓縮機","子件","50-D-TS109-M5-CABAC","","","","","","",""
"1637","D","TS","109","M5","50-D-TS109-M5-CABAC-CTRL","空調控制器KN700","子件","50-D-TS109-M5-CABAC","","","","","","",""
"1638","D","TS","109","M5","50-D-TS109-M5-CABAC-INV","空調變頻器","子件","50-D-TS109-M5-CABAC","","","","","","",""
"1639","D","TS","109","M5","50-D-TS109-M5-CC400","牽引換流器及輔助電源異常(CC400)","總成","50-D-TS109-M5","","","","","","",""
"1640","D","TS","109","M5","50-D-TS109-M5-CC400-ACU","ACU卡板","子件","50-D-TS109-M5-CC400","","","","","","",""
"1641","D","TS","109","M5","50-D-TS109-M5-CC400-AUX","輔助變流器模組(AUX)","子件","50-D-TS109-M5-CC400","","","","","","",""
"1642","D","TS","109","M5","50-D-TS109-M5-CC400-AUX/Reactor","輔電電抗器","子件","50-D-TS109-M5-CC400","","","","","","",""
"1643","D","TS","109","M5","50-D-TS109-M5-CC400-ESS/Reactor","儲能裝置電抗器","子件","50-D-TS109-M5-CC400","","","","","","",""
"1644","D","TS","109","M5","50-D-TS109-M5-CC400-TCU","TCU卡板","子件","50-D-TS109-M5-CC400","","","","","","",""
"1645","D","TS","109","M5","50-D-TS109-M5-CC400-TRAC/Reactor","牽引電抗器","子件","50-D-TS109-M5-CC400","","","","","","",""
"1646","D","TS","109","M5","50-D-TS109-M5-CC400-XC","高頻整流器模組(XC)","子件","50-D-TS109-M5-CC400","","","","","","",""
"1647","D","TS","109","M5","50-D-TS109-M5-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS109-M5","","","","","","",""
"1648","D","TS","109","M5","50-D-TS109-M5-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS109-M5","","","","","","",""
"1649","D","TS","109","M5","50-D-TS109-M5-DMOT-L","驅動馬達-L","獨立件","50-D-TS109-M5","","","","","","",""
"1650","D","TS","109","M5","50-D-TS109-M5-DMOT-R","驅動馬達-R","獨立件","50-D-TS109-M5","","","","","","",""
"1651","D","TS","109","M5","50-D-TS109-M5-EHU","煞車液壓單元總成(EHU)","總成","50-D-TS109-M5","","","","","","",""
"1652","D","TS","109","M5","50-D-TS109-M5-ETH/CAB","網管型乙太網路交換器(駕駛室)","獨立件","50-D-TS109-M5","","","","","","",""
"1653","D","TS","109","M5","50-D-TS109-M5-ETH/SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS109-M5","","","","","","",""
"1654","D","TS","109","M5","50-D-TS109-M5-FLUB/COMP","輪緣潤滑壓縮機","獨立件","50-D-TS109-M5","","","","","","",""
"1655","D","TS","109","M5","50-D-TS109-M5-GPS","GPS機","子件","50-D-TS109-M5","","","","","","",""
"1656","D","TS","109","M5","50-D-TS109-M5-HMI","速度監控HMI","獨立件","50-D-TS109-M5","","","","","","",""
"1657","D","TS","109","M5","50-D-TS109-M5-MC","主控制器總成","總成","50-D-TS109-M5","","","","","","",""
"1658","D","TS","109","M5","50-D-TS109-M5-OBCU","車載控制單元(OBCU)","獨立件","50-D-TS109-M5","","","","","","",""
"1659","D","TS","109","M5","50-D-TS109-M5-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS109-M5","","","","","","",""
"1660","D","TS","109","M5","50-D-TS109-M5-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS109-M5","","","","","","",""
"1661","D","TS","109","M5","50-D-TS109-M5-SD/COMP","撒砂裝置空壓機","獨立件","50-D-TS109-M5","","","","","","",""
"1662","D","TS","109","M5","50-D-TS109-M5-TETRA","TETRA收發機(Tetra Transceiver)","獨立件","50-D-TS109-M5","","","","","","",""
"1663","D","TS","109","M5","50-D-TS109-M5-VCU","車輛控制單元(VCU)","獨立件","50-D-TS109-M5","","","","","","",""
"1664","D","TS","109","M5","50-D-TS109-M5-VID","影像連結單元(Video link)","獨立件","50-D-TS109-M5","","","","","","",""
"1665","D","TS","109","M5","50-D-TS109-M5-WIFI","Wi-Fi模組","獨立件","50-D-TS109-M5","","","","","","",""
"1666","D","TS","110","M1","50-D-TS110-M1-BCU","煞車控制單元(BCU)總成","總成","50-D-TS110-M1","","","","","","",""
"1667","D","TS","110","M1","50-D-TS110-M1-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1668","D","TS","110","M1","50-D-TS110-M1-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1669","D","TS","110","M1","50-D-TS110-M1-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1670","D","TS","110","M1","50-D-TS110-M1-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1671","D","TS","110","M1","50-D-TS110-M1-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1672","D","TS","110","M1","50-D-TS110-M1-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS110-M1-BCU","","","","","","",""
"1673","D","TS","110","M1","50-D-TS110-M1-BOGIE","轉向架","總成","50-D-TS110-M1","","","","","","",""
"1674","D","TS","110","M1","50-D-TS110-M1-BOGIE-AHU","輔助液壓單元總成(AHU)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1675","D","TS","110","M1","50-D-TS110-M1-BOGIE-BCAL-AX1L","動力式煞車卡鉗總成-L1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1676","D","TS","110","M1","50-D-TS110-M1-BOGIE-BCAL-AX1R","動力式煞車卡鉗總成-R1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1677","D","TS","110","M1","50-D-TS110-M1-BOGIE-BCAL-AX2L","動力式煞車卡鉗總成-L2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1678","D","TS","110","M1","50-D-TS110-M1-BOGIE-BCAL-AX2R","動力式煞車卡鉗總成-R2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1679","D","TS","110","M1","50-D-TS110-M1-BOGIE-EHU","煞車液壓單元總成(EHU)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1680","D","TS","110","M1","50-D-TS110-M1-BOGIE-GB-AX1L","齒輪箱總成-L1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1681","D","TS","110","M1","50-D-TS110-M1-BOGIE-GB-AX1R","齒輪箱總成-R1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1682","D","TS","110","M1","50-D-TS110-M1-BOGIE-GB-AX2L","齒輪箱總成-L2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1683","D","TS","110","M1","50-D-TS110-M1-BOGIE-GB-AX2R","齒輪箱總成-R2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1684","D","TS","110","M1","50-D-TS110-M1-BOGIE-TM-AX1L","牽引馬達總成-L1(TM1)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1685","D","TS","110","M1","50-D-TS110-M1-BOGIE-TM-AX1R","牽引馬達總成-R1(TM3)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1686","D","TS","110","M1","50-D-TS110-M1-BOGIE-TM-AX2L","牽引馬達總成-L2(TM2)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1687","D","TS","110","M1","50-D-TS110-M1-BOGIE-TM-AX2R","牽引馬達總成-R2(TM4)","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1688","D","TS","110","M1","50-D-TS110-M1-BOGIE-WHL-AX1L","動力式車輪-L1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1689","D","TS","110","M1","50-D-TS110-M1-BOGIE-WHL-AX1R","動力式車輪-R1","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1690","D","TS","110","M1","50-D-TS110-M1-BOGIE-WHL-AX2L","動力式車輪-L2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1691","D","TS","110","M1","50-D-TS110-M1-BOGIE-WHL-AX2R","動力式車輪-R2","子件","50-D-TS110-M1-BOGIE","","","","","","",""
"1692","D","TS","110","M1","50-D-TS110-M1-BPI","BPI界面轉換器","獨立件","50-D-TS110-M1","","","","","","",""
"1693","D","TS","110","M1","50-D-TS110-M1-BRES","煞車電阻器(含箱體)","獨立件","50-D-TS110-M1","","","","","","",""
"1694","D","TS","110","M1","50-D-TS110-M1-CABAC","駕駛室空調總成","總成","50-D-TS110-M1","","","","","","",""
"1695","D","TS","110","M1","50-D-TS110-M1-CABAC-COMP","空調渦捲式壓縮機","子件","50-D-TS110-M1-CABAC","","","","","","",""
"1696","D","TS","110","M1","50-D-TS110-M1-CABAC-CTRL","空調控制器KN700","子件","50-D-TS110-M1-CABAC","","","","","","",""
"1697","D","TS","110","M1","50-D-TS110-M1-CABAC-INV","空調變頻器","子件","50-D-TS110-M1-CABAC","","","","","","",""
"1698","D","TS","110","M1","50-D-TS110-M1-CC400","牽引換流器及輔助電源異常(CC400)","總成","50-D-TS110-M1","","","","","","",""
"1699","D","TS","110","M1","50-D-TS110-M1-CC400-ACU","ACU卡板","子件","50-D-TS110-M1-CC400","","","","","","",""
"1700","D","TS","110","M1","50-D-TS110-M1-CC400-AUX","輔助變流器模組(AUX)","子件","50-D-TS110-M1-CC400","","","","","","",""
"1701","D","TS","110","M1","50-D-TS110-M1-CC400-AUX/Reactor","輔電電抗器","子件","50-D-TS110-M1-CC400","","","","","","",""
"1702","D","TS","110","M1","50-D-TS110-M1-CC400-ESS/Reactor","儲能裝置電抗器","子件","50-D-TS110-M1-CC400","","","","","","",""
"1703","D","TS","110","M1","50-D-TS110-M1-CC400-TCU","TCU卡板","子件","50-D-TS110-M1-CC400","","","","","","",""
"1704","D","TS","110","M1","50-D-TS110-M1-CC400-TRAC/Reactor","牽引電抗器","子件","50-D-TS110-M1-CC400","","","","","","",""
"1705","D","TS","110","M1","50-D-TS110-M1-CC400-XC","高頻整流器模組(XC)","子件","50-D-TS110-M1-CC400","","","","","","",""
"1706","D","TS","110","M1","50-D-TS110-M1-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS110-M1","","","","","","",""
"1707","D","TS","110","M1","50-D-TS110-M1-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS110-M1","","","","","","",""
"1708","D","TS","110","M1","50-D-TS110-M1-DMOT-L","驅動馬達-L","獨立件","50-D-TS110-M1","","","","","","",""
"1709","D","TS","110","M1","50-D-TS110-M1-DMOT-R","驅動馬達-R","獨立件","50-D-TS110-M1","","","","","","",""
"1710","D","TS","110","M1","50-D-TS110-M1-ETH/CAB","網管型乙太網路交換器(駕駛室)","獨立件","50-D-TS110-M1","","","","","","",""
"1711","D","TS","110","M1","50-D-TS110-M1-ETH/SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS110-M1","","","","","","",""
"1712","D","TS","110","M1","50-D-TS110-M1-FLUB/COMP","輪緣潤滑壓縮機","獨立件","50-D-TS110-M1","","","","","","",""
"1713","D","TS","110","M1","50-D-TS110-M1-GPS","GPS機","子件","50-D-TS110-M1","","","","","","",""
"1714","D","TS","110","M1","50-D-TS110-M1-HMI","速度監控HMI","獨立件","50-D-TS110-M1","","","","","","",""
"1715","D","TS","110","M1","50-D-TS110-M1-MC","主控制器總成","總成","50-D-TS110-M1","","","","","","",""
"1716","D","TS","110","M1","50-D-TS110-M1-OBCU","車載控制單元(OBCU)","獨立件","50-D-TS110-M1","","","","","","",""
"1717","D","TS","110","M1","50-D-TS110-M1-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS110-M1","","","","","","",""
"1718","D","TS","110","M1","50-D-TS110-M1-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS110-M1","","","","","","",""
"1719","D","TS","110","M1","50-D-TS110-M1-SD/COMP","撒砂裝置空壓機","獨立件","50-D-TS110-M1","","","","","","",""
"1720","D","TS","110","M1","50-D-TS110-M1-TETRA","TETRA收發機(Tetra Transceiver)","獨立件","50-D-TS110-M1","","","","","","",""
"1721","D","TS","110","M1","50-D-TS110-M1-VCU","車輛控制單元(VCU)","獨立件","50-D-TS110-M1","","","","","","",""
"1722","D","TS","110","M1","50-D-TS110-M1-VID","影像連結單元(Video link)","獨立件","50-D-TS110-M1","","","","","","",""
"1723","D","TS","110","M1","50-D-TS110-M1-WIFI","Wi-Fi模組","獨立件","50-D-TS110-M1","","","","","","",""
"1724","D","TS","110","M2","50-D-TS110-M2-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS110-M2","","","","","","",""
"1725","D","TS","110","M2","50-D-TS110-M2-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS110-M2","","","","","","",""
"1726","D","TS","110","M2","50-D-TS110-M2-DMOT-L","驅動馬達-L","獨立件","50-D-TS110-M2","","","","","","",""
"1727","D","TS","110","M2","50-D-TS110-M2-DMOT-R","驅動馬達-R","獨立件","50-D-TS110-M2","","","","","","",""
"1728","D","TS","110","M2","50-D-TS110-M2-ESS","儲能電池(ESS)總成","總成","50-D-TS110-M2","","","","","","",""
"1729","D","TS","110","M2","50-D-TS110-M2-ESS-COOL","冷卻器總成","子件","50-D-TS110-M2-ESS","","","","","","",""
"1730","D","TS","110","M2","50-D-TS110-M2-ETH-SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS110-M2","","","","","","",""
"1731","D","TS","110","M2","50-D-TS110-M2-PA-IP","IP擴音器","獨立件","50-D-TS110-M2","","","","","","",""
"1732","D","TS","110","M2","50-D-TS110-M2-PAC-L2","客室空調總成-L2","總成","50-D-TS110-M2","","","","","","",""
"1733","D","TS","110","M2","50-D-TS110-M2-PAC-L2-COMP","空調渦捲式壓縮機-L2","子件","50-D-TS110-M2-PAC-L2","","","","","","",""
"1734","D","TS","110","M2","50-D-TS110-M2-PAC-L2-CTRL","空調控制器KN700-L2","子件","50-D-TS110-M2-PAC-L2","","","","","","",""
"1735","D","TS","110","M2","50-D-TS110-M2-PAC-R1","客室空調總成-R1","總成","50-D-TS110-M2","","","","","","",""
"1736","D","TS","110","M2","50-D-TS110-M2-PAC-R1-COMP","空調渦捲式壓縮機-R1","子件","50-D-TS110-M2-PAC-R1","","","","","","",""
"1737","D","TS","110","M2","50-D-TS110-M2-PAC-R1-CTRL","空調控制器KN700-R1","子件","50-D-TS110-M2-PAC-R1","","","","","","",""
"1738","D","TS","110","M2","50-D-TS110-M2-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS110-M2","","","","","","",""
"1739","D","TS","110","M2","50-D-TS110-M2-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS110-M2","","","","","","",""
"1740","D","TS","110","M3","50-D-TS110-M3-AHU","輔助液壓單元總成(AHU)","總成","50-D-TS110-M3","","","","","","",""
"1741","D","TS","110","M3","50-D-TS110-M3-ATP-SW","ATP乙太網交換機","獨立件","50-D-TS110-M3","","","","","","",""
"1742","D","TS","110","M3","50-D-TS110-M3-BALISE-L","應答器天線-L","獨立件","50-D-TS110-M3","","","","","","",""
"1743","D","TS","110","M3","50-D-TS110-M3-BALISE-R","應答器天線-R","獨立件","50-D-TS110-M3","","","","","","",""
"1744","D","TS","110","M3","50-D-TS110-M3-BCU","煞車控制單元(BCU)總成","總成","50-D-TS110-M3","","","","","","",""
"1745","D","TS","110","M3","50-D-TS110-M3-BCU-AIO","BCU_(AIO)類比輸入/輸出板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1746","D","TS","110","M3","50-D-TS110-M3-BCU-CIB","BCU_(CIB)控制器網路界面板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1747","D","TS","110","M3","50-D-TS110-M3-BCU-CPU","BCU_(CPU)中央處理器板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1748","D","TS","110","M3","50-D-TS110-M3-BCU-DIO","BCU_(DIO)數位輸入/輸出板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1749","D","TS","110","M3","50-D-TS110-M3-BCU-PSB","BCU_(PSB)電源板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1750","D","TS","110","M3","50-D-TS110-M3-BCU-VCB","BCU_(VCB)閥控制板","子件","50-D-TS110-M3-BCU","","","","","","",""
"1751","D","TS","110","M3","50-D-TS110-M3-BOGIE","轉向架","總成","50-D-TS110-M3","","","","","","",""
"1752","D","TS","110","M3","50-D-TS110-M3-BOGIE-BCAL-AX3L","非動力式煞車卡鉗總成-L3","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1753","D","TS","110","M3","50-D-TS110-M3-BOGIE-BCAL-AX3R","非動力式煞車卡鉗總成-R3","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1754","D","TS","110","M3","50-D-TS110-M3-BOGIE-BCAL-AX4L","非動力式煞車卡鉗總成-L4","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1755","D","TS","110","M3","50-D-TS110-M3-BOGIE-BCAL-AX4R","非動力式煞車卡鉗總成-R4","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1756","D","TS","110","M3","50-D-TS110-M3-BOGIE-WHL-AX3L","非動力式車輪-L3","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1757","D","TS","110","M3","50-D-TS110-M3-BOGIE-WHL-AX3R","非動力式車輪-R3","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1758","D","TS","110","M3","50-D-TS110-M3-BOGIE-WHL-AX4L","非動力式車輪-L4","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1759","D","TS","110","M3","50-D-TS110-M3-BOGIE-WHL-AX4R","非動力式車輪-R4","子件","50-D-TS110-M3-BOGIE","","","","","","",""
"1760","D","TS","110","M3","50-D-TS110-M3-CCU","中央控制單元(CCU)","總成","50-D-TS110-M3","","","","","","",""
"1761","D","TS","110","M3","50-D-TS110-M3-CCU-1030","1030卡板(CCU內)","子件","50-D-TS110-M3-CCU","","","","","","",""
"1762","D","TS","110","M3","50-D-TS110-M3-CCU-1092","1092卡板(CCU內)","子件","50-D-TS110-M3-CCU","","","","","","",""
"1763","D","TS","110","M3","50-D-TS110-M3-CCU-A212","A212卡板(CCU內)","子件","50-D-TS110-M3-CCU","","","","","","",""
"1764","D","TS","110","M3","50-D-TS110-M3-CCU-DIO","DIO-16A/15E卡板","子件","50-D-TS110-M3-CCU","","","","","","",""
"1765","D","TS","110","M3","50-D-TS110-M3-CCU-HIST","HIST V4卡版","子件","50-D-TS110-M3-CCU","","","","","","",""
"1766","D","TS","110","M3","50-D-TS110-M3-CCU-REL","REL V3卡板","子件","50-D-TS110-M3-CCU","","","","","","",""
"1767","D","TS","110","M3","50-D-TS110-M3-EHU","煞車液壓單元總成(EHU)","總成","50-D-TS110-M3","","","","","","",""
"1768","D","TS","110","M3","50-D-TS110-M3-ETH-SW","網管型乙太網路交換器(模組3)","獨立件","50-D-TS110-M3","","","","","","",""
"1769","D","TS","110","M3","50-D-TS110-M3-GMU","速度轉換器 (GMU)","獨立件","50-D-TS110-M3","","","","","","",""
"1770","D","TS","110","M3","50-D-TS110-M3-HSCB","高速斷路器總成","總成","50-D-TS110-M3","","","","","","",""
"1771","D","TS","110","M3","50-D-TS110-M3-PANTO","集電弓總成","總成","50-D-TS110-M3","","","","","","",""
"1772","D","TS","110","M3","50-D-TS110-M3-PANTO-DRV","集電弓主軸驅動器","子件","50-D-TS110-M3-PANTO","","","","","","",""
"1773","D","TS","110","M3","50-D-TS110-M3-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS110-M3","","","","","","",""
"1774","D","TS","110","M3","50-D-TS110-M3-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS110-M3","","","","","","",""
"1775","D","TS","110","M3","50-D-TS110-M3-TDR","行車監視紀錄器總成","總成","50-D-TS110-M3","","","","","","",""
"1776","D","TS","110","M3","50-D-TS110-M3-TDR-CPU","診斷CPU","子件","50-D-TS110-M3-TDR","","","","","","",""
"1777","D","TS","110","M4","50-D-TS110-M4-COOL","冷卻器總成","獨立件","50-D-TS110-M4","","","","","","",""
"1778","D","TS","110","M4","50-D-TS110-M4-DCU-L","車門控制單元(DCU)-L","獨立件","50-D-TS110-M4","","","","","","",""
"1779","D","TS","110","M4","50-D-TS110-M4-DCU-R","車門控制單元(DCU)-R","獨立件","50-D-TS110-M4","","","","","","",""
"1780","D","TS","110","M4","50-D-TS110-M4-DMOT-L","驅動馬達-L","獨立件","50-D-TS110-M4","","","","","","",""
"1781","D","TS","110","M4","50-D-TS110-M4-DMOT-R","驅動馬達-R","獨立件","50-D-TS110-M4","","","","","","",""
"1782","D","TS","110","M4","50-D-TS110-M4-ESS","儲能電池(ESS)總成","獨立件","50-D-TS110-M4","","","","","","",""
"1783","D","TS","110","M4","50-D-TS110-M4-ETH-SW","網管型乙太網路交換器(模組1/2/4/5)","獨立件","50-D-TS110-M4","","","","","","",""
"1784","D","TS","110","M4","50-D-TS110-M4-PA-IP","IP擴音器","獨立件","50-D-TS110-M4","","","","","","",""
"1785","D","TS","110","M4","50-D-TS110-M4-PAC/L2","客室空調總成-L2","總成","50-D-TS110-M4","","","","","","",""
"1786","D","TS","110","M4","50-D-TS110-M4-PAC/L2-COMP","空調渦捲式壓縮機-L2","子件","50-D-TS110-M4-PAC/L2","","","","","","",""
"1787","D","TS","110","M4","50-D-TS110-M4-PAC/L2-CTRL","空調控制器KN700-L2","子件","50-D-TS110-M4-PAC/L2","","","","","","",""
"1788","D","TS","110","M4","50-D-TS110-M4-PAC/R1","客室空調總成-R1","總成","50-D-TS110-M4","","","","","","",""
"1789","D","TS","110","M4","50-D-TS110-M4-PAC/R1-COMP","空調渦捲式壓縮機-R1","子件","50-D-TS110-M4-PAC/R1","","","","","","",""
"1790","D","TS","110","M4","50-D-TS110-M4-PAC/R1-CTRL","空調控制器KN700-R1","子件","50-D-TS110-M4-PAC/R1","","","","","","",""
"1791","D","TS","110","M4","50-D-TS110-M4-PEI-L","旅客緊急對講機(PEI)-L","獨立件","50-D-TS110-M4","","","","","","",""
"1792","D","TS","110","M4","50-D-TS110-M4-PEI-R","旅客緊急對講機(PEI)-R","獨立件","50-D-TS110-M4","","","","","","",""
